,,,,Nation,Pos,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
ESP-La Liga,2122,Valencia,Ruben Lendinez,ESP,DF,18.0,4,137.0,34.0,4.0,1.5,1,90.0,1,3,16.0,7,0.75,2.0,6.0,-4.0,-2.63,-2.6,1.6,4.6,-3.0,-1.99,-1.85
ESP-La Liga,2122,Valencia,Rubén Sobrino,ESP,MF,29.0,1,14.0,14.0,0.4,0.2,0,,0,1,14.0,2,3.0,0.0,0.0,0.0,0.0,0.13,0.0,0.4,-0.4,-2.76,-2.56
ESP-La Liga,2122,Valencia,Squad Total,,,24.8,38,3420.0,90.0,100.0,38.0,418,81.0,235,179,20.0,246,1.26,48.0,53.0,-5.0,-0.13,,39.2,47.3,-8.0,-0.21,
ESP-La Liga,2122,Valencia,Thierry Correia,POR,DF,22.0,19,1414.0,74.0,41.3,15.7,18,78.0,9,1,19.0,1,1.21,20.0,11.0,9.0,0.57,1.2,15.7,15.0,0.7,0.04,0.43
ESP-La Liga,2122,Valencia,Toni Lato,ESP,"DF,MF",23.0,11,590.0,54.0,17.3,6.6,7,62.0,3,4,39.0,4,1.09,5.0,9.0,-4.0,-0.61,-0.58,6.8,6.2,0.6,0.1,0.37
ESP-La Liga,2122,Valencia,Uroš Račić,SRB,MF,23.0,28,1206.0,43.0,35.3,13.4,13,74.0,4,15,17.0,9,1.39,19.0,22.0,-3.0,-0.22,-0.14,14.1,17.9,-3.8,-0.28,-0.11
ESP-La Liga,2122,Valencia,Yunus Musah,USA,"MF,FW",18.0,29,1259.0,43.0,36.8,14.0,13,75.0,1,16,17.0,5,1.31,13.0,18.0,-5.0,-0.36,-0.36,10.8,17.5,-6.7,-0.48,-0.42
ESP-La Liga,2122,Villarreal,Adrián de la Fuente,ESP,DF,22.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2122,Villarreal,Alberto Moreno,ESP,"MF,DF",29.0,24,1223.0,51.0,35.8,13.6,13,75.0,3,11,23.0,3,1.58,19.0,9.0,10.0,0.74,0.08,21.8,16.0,5.8,0.43,0.0
ESP-La Liga,2122,Villarreal,Alfonso Pedraza,ESP,DF,25.0,28,1701.0,61.0,49.7,18.9,19,78.0,8,9,24.0,9,1.5,33.0,18.0,15.0,0.79,0.22,30.0,23.6,6.3,0.34,-0.18
ESP-La Liga,2122,Villarreal,Antonio Pacheco,ESP,MF,19.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2122,Villarreal,Arana,ESP,FW,21.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Villarreal,Arnaut Groeneveld,NED,FW,24.0,23,1472.0,64.0,43.0,16.4,17,77.0,6,6,28.0,0,1.48,25.0,19.0,6.0,0.37,-0.56,26.7,21.9,4.9,0.3,-0.22
ESP-La Liga,2122,Villarreal,Aïssa Mandi,ALG,DF,29.0,17,1375.0,81.0,40.2,15.3,14,90.0,14,3,38.0,19,1.88,28.0,15.0,13.0,0.85,0.28,29.2,21.7,7.5,0.49,0.11
ESP-La Liga,2122,Villarreal,Boulaye Dia,SEN,FW,24.0,25,1269.0,51.0,37.1,14.1,13,75.0,3,12,25.0,4,1.56,22.0,9.0,13.0,0.92,0.38,23.7,16.8,6.9,0.49,0.1
ESP-La Liga,2122,Villarreal,Carlo,ESP,MF,20.0,1,7.0,7.0,0.2,0.1,0,,0,1,7.0,3,3.0,0.0,0.0,0.0,0.0,-0.69,0.4,0.0,0.4,5.21,4.8
ESP-La Liga,2122,Villarreal,Dani Raba,ESP,"MF,FW",25.0,7,89.0,13.0,2.6,1.0,0,,0,7,13.0,10,1.14,0.0,3.0,-3.0,-3.03,-3.82,1.3,3.7,-2.4,-2.42,-2.92
ESP-La Liga,2122,Villarreal,Daniel Parejo,ESP,MF,32.0,33,2704.0,82.0,79.1,30.0,32,83.0,23,1,35.0,1,1.58,54.0,32.0,22.0,0.73,0.23,52.2,34.9,17.3,0.58,0.72
ESP-La Liga,2122,Villarreal,Filip Jörgensen,DEN,GK,19.0,0,,,,,0,,0,0,,14,,,,,,,,,,,
ESP-La Liga,2122,Villarreal,Francis Coquelin,FRA,MF,30.0,20,830.0,42.0,24.3,9.2,8,69.0,1,12,24.0,1,1.05,9.0,10.0,-1.0,-0.11,-1.05,9.8,12.1,-2.3,-0.25,-0.9
ESP-La Liga,2122,Villarreal,Gerard Moreno,ESP,FW,29.0,17,1191.0,70.0,34.8,13.2,14,78.0,9,3,35.0,1,1.35,22.0,14.0,8.0,0.6,-0.12,22.3,14.0,8.3,0.62,0.31
ESP-La Liga,2122,Villarreal,Gerónimo Rulli,ARG,GK,29.0,32,2880.0,90.0,84.2,32.0,32,90.0,32,0,,6,1.59,50.0,28.0,22.0,0.69,0.02,49.9,35.6,14.3,0.45,0.15
ESP-La Liga,2122,Villarreal,Giovani Lo Celso,ARG,"MF,FW",25.0,16,994.0,62.0,29.1,11.0,11,77.0,4,5,30.0,0,1.69,19.0,10.0,9.0,0.81,0.18,16.3,15.0,1.3,0.12,-0.43
ESP-La Liga,2122,Villarreal,Iker Álvarez,AND,GK,20.0,0,,,,,0,,0,0,,10,,,,,,,,,,,
ESP-La Liga,2122,Villarreal,Jorge Cuenca,ESP,DF,21.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2122,Villarreal,José Cabrera,ESP,DF,20.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Villarreal,Juan Foyth,ARG,DF,23.0,25,1924.0,77.0,56.3,21.4,22,84.0,12,3,29.0,5,1.24,29.0,19.0,10.0,0.47,-0.49,32.3,23.6,8.7,0.41,-0.04
ESP-La Liga,2122,Villarreal,Manu Trigueros,ESP,"MF,FW",29.0,35,2178.0,62.0,63.7,24.2,27,74.0,6,8,21.0,1,1.69,51.0,22.0,29.0,1.2,1.42,44.2,27.2,17.0,0.7,0.76
ESP-La Liga,2122,Villarreal,Mario Gaspar,ESP,DF,30.0,12,623.0,52.0,18.2,6.9,7,80.0,4,5,12.0,26,1.58,14.0,8.0,6.0,0.87,0.22,10.9,10.0,1.0,0.14,-0.34
ESP-La Liga,2122,Villarreal,Moi Gómez,ESP,"MF,FW",27.0,29,1286.0,44.0,37.6,14.3,13,75.0,4,16,20.0,8,1.69,20.0,14.0,6.0,0.42,-0.42,21.9,16.9,5.0,0.35,-0.12
ESP-La Liga,2122,Villarreal,Nicolas Jackson,SEN,FW,20.0,9,165.0,18.0,4.8,1.8,0,,0,9,18.0,2,1.89,3.0,3.0,0.0,0.0,-0.72,3.5,3.4,0.1,0.07,-0.38
ESP-La Liga,2122,Villarreal,Nikita Iosifov,RUS,MF,20.0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,5,3.0,0.0,0.0,0.0,0.0,-0.68,0.1,0.0,0.1,6.98,6.56
ESP-La Liga,2122,Villarreal,Opponent Total,,,27.6,38,3420.0,90.0,100.0,38.0,418,81.0,243,172,21.0,254,1.55,37.0,63.0,-26.0,-0.68,,46.5,62.6,-16.1,-0.42,
ESP-La Liga,2122,Villarreal,Paco Alcácer,ESP,FW,27.0,18,787.0,44.0,23.0,8.7,10,65.0,0,8,17.0,8,1.44,16.0,11.0,5.0,0.57,-0.15,12.4,10.8,1.6,0.18,-0.31
ESP-La Liga,2122,Villarreal,Pau Torres,ESP,DF,24.0,33,2855.0,87.0,83.5,31.7,33,87.0,30,0,,1,1.58,54.0,33.0,21.0,0.66,-0.13,52.7,37.8,14.8,0.47,0.26
ESP-La Liga,2122,Villarreal,Pervis Estupiñán,ECU,DF,23.0,28,1575.0,56.0,46.1,17.5,17,78.0,7,11,22.0,9,1.46,30.0,17.0,13.0,0.74,0.11,31.4,19.9,11.5,0.65,0.43
ESP-La Liga,2122,Villarreal,Raúl Albiol,ESP,DF,35.0,28,2465.0,88.0,72.1,27.4,28,88.0,26,0,,6,1.5,42.0,25.0,17.0,0.62,-0.23,40.9,30.6,10.3,0.38,-0.17
ESP-La Liga,2122,Villarreal,Rubén Peña,ESP,"MF,FW",30.0,7,132.0,19.0,3.9,1.5,1,68.0,0,6,11.0,18,1.57,1.0,0.0,1.0,0.68,0.0,4.1,1.1,3.0,2.05,1.69
ESP-La Liga,2122,Villarreal,Samuel Chukwueze,NGA,"MF,FW",22.0,27,1333.0,49.0,39.0,14.8,12,78.0,3,15,27.0,0,1.63,26.0,14.0,12.0,0.81,0.21,23.8,21.6,2.2,0.15,-0.45
ESP-La Liga,2122,Villarreal,Serge Aurier,CIV,DF,28.0,19,1010.0,53.0,29.5,11.2,10,86.0,8,9,17.0,2,1.68,22.0,12.0,10.0,0.89,0.29,21.4,16.1,5.3,0.47,0.06
ESP-La Liga,2122,Villarreal,Sergio Asenjo,ESP,GK,32.0,6,540.0,90.0,15.8,6.0,6,90.0,6,0,,30,1.33,13.0,9.0,4.0,0.67,-0.02,12.7,10.9,1.8,0.3,-0.15
ESP-La Liga,2122,Villarreal,Squad Total,,,28.0,38,3420.0,90.0,100.0,38.0,418,81.0,235,183,21.0,234,1.55,63.0,37.0,26.0,0.68,,62.6,46.5,16.1,0.42,
ESP-La Liga,2122,Villarreal,Vicente Iborra,ESP,MF,33.0,20,1034.0,52.0,30.2,11.5,12,80.0,8,8,9.0,18,2.05,24.0,10.0,14.0,1.22,0.77,25.7,16.5,9.2,0.8,0.54
ESP-La Liga,2122,Villarreal,Yeremi Pino,ESP,"MF,FW",18.0,31,1678.0,54.0,49.1,18.6,21,70.0,3,10,22.0,2,1.55,31.0,20.0,11.0,0.59,-0.18,30.2,21.3,8.9,0.48,0.11
ESP-La Liga,2122,Villarreal,Étienne Capoue,FRA,MF,33.0,30,2290.0,76.0,67.0,25.4,26,83.0,15,4,33.0,3,1.43,36.0,23.0,13.0,0.51,-0.52,36.4,28.0,8.4,0.33,-0.28
